Localidad;Año;Regimen afiliación;Estimado afiliados
Santa Fe;2018;R. contributivo;54,714
San Cristóbal;2018;R. contributivo;265.66
Usme;2018;R. contributivo;202.12
Tunjuelito;2018;R. contributivo;125,076
Bosa;2018;R. contributivo;520,142
Kennedy;2018;R. contributivo;937,411
Fontibón;2018;R. contributivo;358,314
Engativá;2018;R. contributivo;724,409
Suba;2018;R. contributivo;1,129,443
Barrios Unidos;2018;R. contributivo;222,035
Teusaquillo;2018;R. contributivo;139,695
Los Mártires;2018;R. contributivo;67,999
Antonio Nariño;2018;R. contributivo;83,384
Puente Aranda;2018;R. contributivo;186,509
La Candelaria;2018;R. contributivo;15.94
Rafael Uribe Uribe;2018;R. contributivo;237,154
Ciudad Bolívar;2018;R. contributivo;473,652
Sumapaz;2018;R. contributivo;1,442
Sin dato de localidad;2018;R. contributivo;0
Distrito;2018;R. contributivo;6,284,987
Usaquén;2018;R. excepción;13.04
Chapinero;2018;R. excepción;3,933
Santa Fe;2018;R. excepción;1,882
San Cristóbal;2018;R. excepción;10,032
Usme;2018;R. excepción;5,178
Tunjuelito;2018;R. excepción;9,476
Bosa;2018;R. excepción;13,608
Kennedy;2018;R. excepción;36,146
Fontibón;2018;R. excepción;15,955
Engativá;2018;R. excepción;27,427
Suba;2018;R. excepción;24,874
Barrios Unidos;2018;R. excepción;8.53
Teusaquillo;2018;R. excepción;5,093
Los Mártires;2018;R. excepción;2,611
Antonio Nariño;2018;R. excepción;3,709
Puente Aranda;2018;R. excepción;6,109
La Candelaria;2018;R. excepción;452
Rafael Uribe Uribe;2018;R. excepción;4,864
Ciudad Bolívar;2018;R. excepción;12,509
Sumapaz;2018;R. excepción;26
Sin dato de localidad;2018;R. excepción;0
Distrito;2018;R. excepción;205,454
Usaquén;2018;R. subsidiado;28,678
Chapinero;2018;R. subsidiado;8.23
Santa Fe;2018;R. subsidiado;32,432
San Cristóbal;2018;R. subsidiado;97,849
Usme;2018;R. subsidiado;102,687
Tunjuelito;2018;R. subsidiado;36,917
Bosa;2018;R. subsidiado;136,599
Kennedy;2018;R. subsidiado;132,653
Fontibón;2018;R. subsidiado;25,535
Engativá;2018;R. subsidiado;71,228
Suba;2018;R. subsidiado;88,091
Barrios Unidos;2018;R. subsidiado;12,109
Teusaquillo;2018;R. subsidiado;2.18
Los Mártires;2018;R. subsidiado;16,261
Antonio Nariño;2018;R. subsidiado;9,702
Puente Aranda;2018;R. subsidiado;19,723
La Candelaria;2018;R. subsidiado;4,489
Rafael Uribe Uribe;2018;R. subsidiado;85,987
Ciudad Bolívar;2018;R. subsidiado;181,465
Sumapaz;2018;R. subsidiado;1,385
Sin dato de localidad;2018;R. subsidiado;66.92
Distrito;2018;R. subsidiado;1,161,120
Usaquén;2018;No afiliados;1,226
Chapinero;2018;No afiliados;281
Santa Fe;2018;No afiliados;853
San Cristóbal;2018;No afiliados;2,075
Usme;2018;No afiliados;1,644
Tunjuelito;2018;No afiliados;1,121
Bosa;2018;No afiliados;3,591
Kennedy;2018;No afiliados;5,788
Fontibón;2018;No afiliados;1,206
Engativá;2018;No afiliados;3,542
Suba;2018;No afiliados;4,349
Barrios Unidos;2018;No afiliados;512
Teusaquillo;2018;No afiliados;206
Los Mártires;2018;No afiliados;799
Antonio Nariño;2018;No afiliados;503
Puente Aranda;2018;No afiliados;1,088
La Candelaria;2018;No afiliados;156
Rafael Uribe Uribe;2018;No afiliados;2,345
Ciudad Bolívar;2018;No afiliados;3,218
Sumapaz;2018;No afiliados;32
Sin dato de localidad;2018;No afiliados;0
Distrito;2018;No afiliados;34,535
Usaquén;2019;R. contributivo;407,878
Chapinero;2019;R. contributivo;105,582
Santa Fe;2019;R. contributivo;52,035
San Cristóbal;2019;R. contributivo;252,656
Usme;2019;R. contributivo;192,226
Tunjuelito;2019;R. contributivo;118,954
Bosa;2019;R. contributivo;494,681
Kennedy;2019;R. contributivo;891,525
Fontibón;2019;R. contributivo;340,774
Engativá;2019;R. contributivo;688,949
Suba;2019;R. contributivo;1,074,157
Barrios Unidos;2019;R. contributivo;211,167
Teusaquillo;2019;R. contributivo;132,857
Los Mártires;2019;R. contributivo;64.67
Antonio Nariño;2019;R. contributivo;79,302
Puente Aranda;2019;R. contributivo;177,379
La Candelaria;2019;R. contributivo;15.16
Rafael Uribe Uribe;2019;R. contributivo;225,546
Ciudad Bolívar;2019;R. contributivo;450,467
Sumapaz;2019;R. contributivo;1,371
Sin dato de localidad;2019;R. contributivo;367,632
Distrito;2019;R. contributivo;6,344,968
Usaquén;2019;R. excepción;12,364
Chapinero;2019;R. excepción;3,729
Santa Fe;2019;R. excepción;1,784
San Cristóbal;2019;R. excepción;9,512
Usme;2019;R. excepción;4.91
Tunjuelito;2019;R. excepción;8,984
Bosa;2019;R. excepción;12,902
Kennedy;2019;R. excepción;34.27
Fontibón;2019;R. excepción;15,128
Engativá;2019;R. excepción;26,003
Suba;2019;R. excepción;23,584
Barrios Unidos;2019;R. excepción;8,087
Teusaquillo;2019;R. excepción;4,829
Los Mártires;2019;R. excepción;2,476
Antonio Nariño;2019;R. excepción;3,517
Puente Aranda;2019;R. excepción;5,792
La Candelaria;2019;R. excepción;429
Rafael Uribe Uribe;2019;R. excepción;4,612
Ciudad Bolívar;2019;R. excepción;11.86
Sumapaz;2019;R. excepción;25
Sin dato de localidad;2019;R. excepción;0
Distrito;2019;R. excepción;194,797
Usaquén;2019;R. subsidiado;29,833
Chapinero;2019;R. subsidiado;8,253
Santa Fe;2019;R. subsidiado;32,577
San Cristóbal;2019;R. subsidiado;98,957
Usme;2019;R. subsidiado;105,081
Tunjuelito;2019;R. subsidiado;38
Bosa;2019;R. subsidiado;140,583
Kennedy;2019;R. subsidiado;137,214
Fontibón;2019;R. subsidiado;26,705
Engativá;2019;R. subsidiado;74,045
Suba;2019;R. subsidiado;93,719
Barrios Unidos;2019;R. subsidiado;12,334
Teusaquillo;2019;R. subsidiado;2,389
Los Mártires;2019;R. subsidiado;16,668
Antonio Nariño;2019;R. subsidiado;9,854
Puente Aranda;2019;R. subsidiado;20,203
La Candelaria;2019;R. subsidiado;4,495
Rafael Uribe Uribe;2019;R. subsidiado;88,133
Ciudad Bolívar;2019;R. subsidiado;184,812
Sumapaz;2019;R. subsidiado;1,415
Sin dato de localidad;2019;R. subsidiado;90,766
Distrito;2019;R. subsidiado;1,216,036
Usaquén;2019;No afiliados;1,205
Chapinero;2019;No afiliados;232
Santa Fe;2019;No afiliados;673
San Cristóbal;2019;No afiliados;1,809
Usme;2019;No afiliados;2,005
Tunjuelito;2019;No afiliados;1,172
Bosa;2019;No afiliados;3,754
Kennedy;2019;No afiliados;5,525
Fontibón;2019;No afiliados;1,055
Engativá;2019;No afiliados;3,706
Suba;2019;No afiliados;4,303
Barrios Unidos;2019;No afiliados;354
Teusaquillo;2019;No afiliados;140
Los Mártires;2019;No afiliados;684
Antonio Nariño;2019;No afiliados;426
Puente Aranda;2019;No afiliados;910
La Candelaria;2019;No afiliados;121
Rafael Uribe Uribe;2019;No afiliados;2,624
Ciudad Bolívar;2019;No afiliados;3,377
Sumapaz;2019;No afiliados;25
Sin dato de localidad;2019;No afiliados;0
Distrito;2019;No afiliados;34.1
Usaquén;2020;R. contributivo;431,128
Chapinero;2020;R. contributivo;104,371
Santa Fe;2020;R. contributivo;56,004
San Cristóbal;2020;R. contributivo;272,077
Usme;2020;R. contributivo;210,625
Tunjuelito;2020;R. contributivo;128,028
Bosa;2020;R. contributivo;543.61
Kennedy;2020;R. contributivo;964,792
Fontibón;2020;R. contributivo;357,458
Engativá;2020;R. contributivo;735,304
Suba;2020;R. contributivo;1,095,740
Barrios Unidos;2020;R. contributivo;222,056
Teusaquillo;2020;R. contributivo;141,893
Los Mártires;2020;R. contributivo;72,703
Antonio Nariño;2020;R. contributivo;91,948
Puente Aranda;2020;R. contributivo;208,486
La Candelaria;2020;R. contributivo;17,591
Rafael Uribe Uribe;2020;R. contributivo;244,923
Ciudad Bolívar;2020;R. contributivo;479,554
Sumapaz;2020;R. contributivo;860
Sin dato de localidad;2020;R. contributivo;0
Distrito;2020;R. contributivo;6,379,151
Usaquén;2020;R. excepción;13,023
Chapinero;2020;R. excepción;3,833
Santa Fe;2020;R. excepción;1,959
San Cristóbal;2020;R. excepción;10,406
Usme;2020;R. excepción;5,528
Tunjuelito;2020;R. excepción;9,617
Bosa;2020;R. excepción;14,092
Kennedy;2020;R. excepción;37,167
Fontibón;2020;R. excepción;15,795
Engativá;2020;R. excepción;27,851
Suba;2020;R. excepción;23,693
Barrios Unidos;2020;R. excepción;8,432
Teusaquillo;2020;R. excepción;5,157
Los Mártires;2020;R. excepción;2,787
Antonio Nariño;2020;R. excepción;4,119
Puente Aranda;2020;R. excepción;6,736
La Candelaria;2020;R. excepción;488
Rafael Uribe Uribe;2020;R. excepción;5.11
Ciudad Bolívar;2020;R. excepción;10,337
Sumapaz;2020;R. excepción;29
Sin dato de localidad;2020;R. excepción;0
Distrito;2020;R. excepción;206,159
Usaquén;2020;R. subsidiado;34,229
Chapinero;2020;R. subsidiado;9,272
Santa Fe;2020;R. subsidiado;34.63
San Cristóbal;2020;R. subsidiado;109,889
Usme;2020;R. subsidiado;114,936
Tunjuelito;2020;R. subsidiado;41,613
Bosa;2020;R. subsidiado;155,727
Kennedy;2020;R. subsidiado;155,064
Fontibón;2020;R. subsidiado;29,797
Engativá;2020;R. subsidiado;83,507
