Localidad;Año;Regimen afiliación;Estimado afiliados
Antonio Nariño;2023 MAYO;R. excepción;2,666
Puente Aranda;2023 MAYO;R. excepción;7,442
La Candelaria;2023 MAYO;R. excepción;282
Rafael Uribe Uribe;2023 MAYO;R. excepción;7,447
Ciudad Bolívar;2023 MAYO;R. excepción;7,265
Sumapaz;2023 MAYO;R. excepción;34
Sin dato de localidad;2023 MAYO;R. excepción;
Distrito;2023 MAYO;R. excepción;190,737
Usaquén;2023 MAYO;R. subsidiado;37,172
Chapinero;2023 MAYO;R. subsidiado;9,706
Santa Fe;2023 MAYO;R. subsidiado;33,033
San Cristóbal;2023 MAYO;R. subsidiado;108,591
Usme;2023 MAYO;R. subsidiado;122,645
Tunjuelito;2023 MAYO;R. subsidiado;41,162
Bosa;2023 MAYO;R. subsidiado;175,217
Kennedy;2023 MAYO;R. subsidiado;163,528
Fontibón;2023 MAYO;R. subsidiado;29,832
Engativá;2023 MAYO;R. subsidiado;95,705
Suba;2023 MAYO;R. subsidiado;118,916
Barrios Unidos;2023 MAYO;R. subsidiado;12,122
Teusaquillo;2023 MAYO;R. subsidiado;2,954
Los Mártires;2023 MAYO;R. subsidiado;17,849
Antonio Nariño;2023 MAYO;R. subsidiado;11,884
Puente Aranda;2023 MAYO;R. subsidiado;22,527
La Candelaria;2023 MAYO;R. subsidiado;5,849
Rafael Uribe Uribe;2023 MAYO;R. subsidiado;103,058
Ciudad Bolívar;2023 MAYO;R. subsidiado;208,454
Sumapaz;2023 MAYO;R. subsidiado;1,417
Sin dato de localidad;2023 MAYO;R. subsidiado;387,033
Distrito;2023 MAYO;R. subsidiado;1,708,654
Usaquén;2023 MAYO;No afiliados;0
Chapinero;2023 MAYO;No afiliados;0
Santa Fe;2023 MAYO;No afiliados;0
San Cristóbal;2023 MAYO;No afiliados;0
Usme;2023 MAYO;No afiliados;0
Tunjuelito;2023 MAYO;No afiliados;0
Bosa;2023 MAYO;No afiliados;0
Kennedy;2023 MAYO;No afiliados;0
Fontibón;2023 MAYO;No afiliados;0
Engativá;2023 MAYO;No afiliados;0
Suba;2023 MAYO;No afiliados;0
Barrios Unidos;2023 MAYO;No afiliados;0
Teusaquillo;2023 MAYO;No afiliados;0
Los Mártires;2023 MAYO;No afiliados;0
Antonio Nariño;2023 MAYO;No afiliados;0
Puente Aranda;2023 MAYO;No afiliados;0
La Candelaria;2023 MAYO;No afiliados;0
Rafael Uribe Uribe;2023 MAYO;No afiliados;0
Ciudad Bolívar;2023 MAYO;No afiliados;0
Sumapaz;2023 MAYO;No afiliados;0
Sin dato de localidad;2023 MAYO;No afiliados;0
Distrito;2023 MAYO;No afiliados;0
Usaquén;2023 JUNIO;R. contributivo;533782
Chapinero;2023 JUNIO;R. contributivo;165292
Santa Fe;2023 JUNIO;R. contributivo;63350
San Cristóbal;2023 JUNIO;R. contributivo;280297
Usme;2023 JUNIO;R. contributivo;230863
Tunjuelito;2023 JUNIO;R. contributivo;119777
Bosa;2023 JUNIO;R. contributivo;497749
Kennedy;2023 JUNIO;R. contributivo;783099
Fontibón;2023 JUNIO;R. contributivo;359723
Engativá;2023 JUNIO;R. contributivo;696700
Suba;2023 JUNIO;R. contributivo;1117696
Barrios Unidos;2023 JUNIO;R. contributivo;130293
Teusaquillo;2023 JUNIO;R. contributivo;163347
Los Mártires;2023 JUNIO;R. contributivo;50406
Antonio Nariño;2023 JUNIO;R. contributivo;65332
Puente Aranda;2023 JUNIO;R. contributivo;217539
La Candelaria;2023 JUNIO;R. contributivo;12196
Rafael Uribe Uribe;2023 JUNIO;R. contributivo;249849
Ciudad Bolívar;2023 JUNIO;R. contributivo;389833
Sumapaz;2023 JUNIO;R. contributivo;1318
Sin dato de localidad;2023 JUNIO;R. contributivo;
Distrito;2023 JUNIO;R. contributivo;6128441
Usaquén;2023 JUNIO;R. excepción;17166
Chapinero;2023 JUNIO;R. excepción;4527
Santa Fe;2023 JUNIO;R. excepción;2655
San Cristóbal;2023 JUNIO;R. excepción;7751
Usme;2023 JUNIO;R. excepción;4711
Tunjuelito;2023 JUNIO;R. excepción;6098
Bosa;2023 JUNIO;R. excepción;9031
Kennedy;2023 JUNIO;R. excepción;34854
Fontibón;2023 JUNIO;R. excepción;9984
Engativá;2023 JUNIO;R. excepción;21977
Suba;2023 JUNIO;R. excepción;33271
Barrios Unidos;2023 JUNIO;R. excepción;3743
Teusaquillo;2023 JUNIO;R. excepción;8106
Los Mártires;2023 JUNIO;R. excepción;1727
Antonio Nariño;2023 JUNIO;R. excepción;2666
Puente Aranda;2023 JUNIO;R. excepción;7442
La Candelaria;2023 JUNIO;R. excepción;282
Rafael Uribe Uribe;2023 JUNIO;R. excepción;7447
Ciudad Bolívar;2023 JUNIO;R. excepción;7265
Sumapaz;2023 JUNIO;R. excepción;34
Sin dato de localidad;2023 JUNIO;R. excepción;0
Distrito;2023 JUNIO;R. excepción;190737
Usaquén;2023 JUNIO;R. subsidiado;37151
Chapinero;2023 JUNIO;R. subsidiado;9622
Santa Fe;2023 JUNIO;R. subsidiado;33024
San Cristóbal;2023 JUNIO;R. subsidiado;108578
Usme;2023 JUNIO;R. subsidiado;122475
Tunjuelito;2023 JUNIO;R. subsidiado;40899
Bosa;2023 JUNIO;R. subsidiado;174535
Kennedy;2023 JUNIO;R. subsidiado;162832
Fontibón;2023 JUNIO;R. subsidiado;29799
Engativá;2023 JUNIO;R. subsidiado;95452
Suba;2023 JUNIO;R. subsidiado;118539
Barrios Unidos;2023 JUNIO;R. subsidiado;12106
Teusaquillo;2023 JUNIO;R. subsidiado;2961
Los Mártires;2023 JUNIO;R. subsidiado;17770
Antonio Nariño;2023 JUNIO;R. subsidiado;11852
Puente Aranda;2023 JUNIO;R. subsidiado;22664
La Candelaria;2023 JUNIO;R. subsidiado;5830
Rafael Uribe Uribe;2023 JUNIO;R. subsidiado;102535
Ciudad Bolívar;2023 JUNIO;R. subsidiado;207858
Sumapaz;2023 JUNIO;R. subsidiado;1418
Sin dato de localidad;2023 JUNIO;R. subsidiado;387769
Distrito;2023 JUNIO;R. subsidiado;1705669
Usaquén;2023 JUNIO;No afiliados;0
Chapinero;2023 JUNIO;No afiliados;0
Santa Fe;2023 JUNIO;No afiliados;0
San Cristóbal;2023 JUNIO;No afiliados;0
Usme;2023 JUNIO;No afiliados;0
Tunjuelito;2023 JUNIO;No afiliados;0
Bosa;2023 JUNIO;No afiliados;0
Kennedy;2023 JUNIO;No afiliados;0
Fontibón;2023 JUNIO;No afiliados;0
Engativá;2023 JUNIO;No afiliados;0
Suba;2023 JUNIO;No afiliados;0
Barrios Unidos;2023 JUNIO;No afiliados;0
Teusaquillo;2023 JUNIO;No afiliados;0
Los Mártires;2023 JUNIO;No afiliados;0
Antonio Nariño;2023 JUNIO;No afiliados;0
Puente Aranda;2023 JUNIO;No afiliados;0
La Candelaria;2023 JUNIO;No afiliados;0
Rafael Uribe Uribe;2023 JUNIO;No afiliados;0
Ciudad Bolívar;2023 JUNIO;No afiliados;0
Sumapaz;2023 JUNIO;No afiliados;0
Sin dato de localidad;2023 JUNIO;No afiliados;0
Distrito;2023 JUNIO;No afiliados;0
Usaquén;2023 JULIO;R. contributivo;532,508
Chapinero;2023 JULIO;R. contributivo;164,898
Santa Fe;2023 JULIO;R. contributivo;63,199
San Cristóbal;2023 JULIO;R. contributivo;279,628
Usme;2023 JULIO;R. contributivo;230,313
Tunjuelito;2023 JULIO;R. contributivo;119,491
Bosa;2023 JULIO;R. contributivo;496,561
Kennedy;2023 JULIO;R. contributivo;781,23
Fontibón;2023 JULIO;R. contributivo;358,865
Engativá;2023 JULIO;R. contributivo;695,038
Suba;2023 JULIO;R. contributivo;1,115,027
Barrios Unidos;2023 JULIO;R. contributivo;129,982
Teusaquillo;2023 JULIO;R. contributivo;162,957
Los Mártires;2023 JULIO;R. contributivo;50,286
Antonio Nariño;2023 JULIO;R. contributivo;65,177
Puente Aranda;2023 JULIO;R. contributivo;217,02
La Candelaria;2023 JULIO;R. contributivo;12,167
Rafael Uribe Uribe;2023 JULIO;R. contributivo;249,253
Ciudad Bolívar;2023 JULIO;R. contributivo;388,903
Sumapaz;2023 JULIO;R. contributivo;1,315
Sin dato de localidad;2023 JULIO;R. contributivo;0
Distrito;2023 JULIO;R. contributivo;6,113,818
Usaquén;2023 JULIO;R. excepción;17,166
Chapinero;2023 JULIO;R. excepción;4,527
Santa Fe;2023 JULIO;R. excepción;2,655
San Cristóbal;2023 JULIO;R. excepción;7,751
Usme;2023 JULIO;R. excepción;4,711
Tunjuelito;2023 JULIO;R. excepción;6,098
Bosa;2023 JULIO;R. excepción;9,031
Kennedy;2023 JULIO;R. excepción;34,854
Fontibón;2023 JULIO;R. excepción;9,984
Engativá;2023 JULIO;R. excepción;21,977
Suba;2023 JULIO;R. excepción;33,271
Barrios Unidos;2023 JULIO;R. excepción;3,743
Teusaquillo;2023 JULIO;R. excepción;8,106
Los Mártires;2023 JULIO;R. excepción;1,727
Antonio Nariño;2023 JULIO;R. excepción;2,666
Puente Aranda;2023 JULIO;R. excepción;7,442
La Candelaria;2023 JULIO;R. excepción;282
Rafael Uribe Uribe;2023 JULIO;R. excepción;7,447
Ciudad Bolívar;2023 JULIO;R. excepción;7,265
Sumapaz;2023 JULIO;R. excepción;34
Sin dato de localidad;2023 JULIO;R. excepción;0
Distrito;2023 JULIO;R. excepción;190,737
Usaquén;2023 JULIO;R. subsidiado;37,403
Chapinero;2023 JULIO;R. subsidiado;9,66
Santa Fe;2023 JULIO;R. subsidiado;33,103
San Cristóbal;2023 JULIO;R. subsidiado;109,371
Usme;2023 JULIO;R. subsidiado;123,604
Tunjuelito;2023 JULIO;R. subsidiado;41,073
Bosa;2023 JULIO;R. subsidiado;176,233
Kennedy;2023 JULIO;R. subsidiado;164,019
Fontibón;2023 JULIO;R. subsidiado;30,158
Engativá;2023 JULIO;R. subsidiado;96,043
Suba;2023 JULIO;R. subsidiado;119,771
Barrios Unidos;2023 JULIO;R. subsidiado;12,161
Teusaquillo;2023 JULIO;R. subsidiado;2,957
Los Mártires;2023 JULIO;R. subsidiado;17,811
Antonio Nariño;2023 JULIO;R. subsidiado;11,892
Puente Aranda;2023 JULIO;R. subsidiado;22,81
La Candelaria;2023 JULIO;R. subsidiado;5,839
Rafael Uribe Uribe;2023 JULIO;R. subsidiado;103,202
Ciudad Bolívar;2023 JULIO;R. subsidiado;209,435
Sumapaz;2023 JULIO;R. subsidiado;1,414
Sin dato de localidad;2023 JULIO;R. subsidiado;386,737
Distrito;2023 JULIO;R. subsidiado;1,714,696
Usaquén;2023 JULIO;No afiliados;0
Chapinero;2023 JULIO;No afiliados;0
Santa Fe;2023 JULIO;No afiliados;0
San Cristóbal;2023 JULIO;No afiliados;0
Usme;2023 JULIO;No afiliados;0
Tunjuelito;2023 JULIO;No afiliados;0
Bosa;2023 JULIO;No afiliados;0
Kennedy;2023 JULIO;No afiliados;0
Fontibón;2023 JULIO;No afiliados;0
Engativá;2023 JULIO;No afiliados;0
Suba;2023 JULIO;No afiliados;0
Barrios Unidos;2023 JULIO;No afiliados;0
Teusaquillo;2023 JULIO;No afiliados;0
Los Mártires;2023 JULIO;No afiliados;0
Antonio Nariño;2023 JULIO;No afiliados;0
Puente Aranda;2023 JULIO;No afiliados;0
La Candelaria;2023 JULIO;No afiliados;0
Rafael Uribe Uribe;2023 JULIO;No afiliados;0
Ciudad Bolívar;2023 JULIO;No afiliados;0
Sumapaz;2023 JULIO;No afiliados;0
Sin dato de localidad;2023 JULIO;No afiliados;0
Distrito;2023 JULIO;No afiliados;0
Usaquén;2023 AGOSTO;R. contributivo;532,475
Chapinero;2023 AGOSTO;R. contributivo;164,887
Santa Fe;2023 AGOSTO;R. contributivo;63,195
San Cristóbal;2023 AGOSTO;R. contributivo;279,611
Usme;2023 AGOSTO;R. contributivo;230,298
Tunjuelito;2023 AGOSTO;R. contributivo;119,483
Bosa;2023 AGOSTO;R. contributivo;496,53
Kennedy;2023 AGOSTO;R. contributivo;781,181
Fontibón;2023 AGOSTO;R. contributivo;358,842
Engativá;2023 AGOSTO;R. contributivo;694,994
Suba;2023 AGOSTO;R. contributivo;1,114,958
Barrios Unidos;2023 AGOSTO;R. contributivo;129,974
Teusaquillo;2023 AGOSTO;R. contributivo;162,947
Los Mártires;2023 AGOSTO;R. contributivo;50,282
Antonio Nariño;2023 AGOSTO;R. contributivo;65,172
Puente Aranda;2023 AGOSTO;R. contributivo;217,006
La Candelaria;2023 AGOSTO;R. contributivo;12,166
Rafael Uribe Uribe;2023 AGOSTO;R. contributivo;249,237
Ciudad Bolívar;2023 AGOSTO;R. contributivo;388,879
Sumapaz;2023 AGOSTO;R. contributivo;1,315
Sin dato de localidad;2023 AGOSTO;R. contributivo;0
Distrito;2023 AGOSTO;R. contributivo;6,113,432
Usaquén;2023 AGOSTO;R. excepción;17,166
Chapinero;2023 AGOSTO;R. excepción;4,527
Santa Fe;2023 AGOSTO;R. excepción;2,655
San Cristóbal;2023 AGOSTO;R. excepción;7,751
Usme;2023 AGOSTO;R. excepción;4,711
Tunjuelito;2023 AGOSTO;R. excepción;6,098
Bosa;2023 AGOSTO;R. excepción;9,031
Kennedy;2023 AGOSTO;R. excepción;34,854
Fontibón;2023 AGOSTO;R. excepción;9,984
Engativá;2023 AGOSTO;R. excepción;21,977
Suba;2023 AGOSTO;R. excepción;33,271
Barrios Unidos;2023 AGOSTO;R. excepción;3,743
Teusaquillo;2023 AGOSTO;R. excepción;8,106
Los Mártires;2023 AGOSTO;R. excepción;1,727
Antonio Nariño;2023 AGOSTO;R. excepción;2,666
Puente Aranda;2023 AGOSTO;R. excepción;7,442
La Candelaria;2023 AGOSTO;R. excepción;282
Rafael Uribe Uribe;2023 AGOSTO;R. excepción;7,447
Ciudad Bolívar;2023 AGOSTO;R. excepción;7,265
Sumapaz;2023 AGOSTO;R. excepción;34
Sin dato de localidad;2023 AGOSTO;R. excepción;0
Distrito;2023 AGOSTO;R. excepción;190,737
Usaquén;2023 AGOSTO;R. subsidiado;37,345
Chapinero;2023 AGOSTO;R. subsidiado;9,649
Santa Fe;2023 AGOSTO;R. subsidiado;33,062
San Cristóbal;2023 AGOSTO;R. subsidiado;109,181
Usme;2023 AGOSTO;R. subsidiado;123,172
Tunjuelito;2023 AGOSTO;R. subsidiado;41,047
Bosa;2023 AGOSTO;R. subsidiado;175,743
Kennedy;2023 AGOSTO;R. subsidiado;163,933
Fontibón;2023 AGOSTO;R. subsidiado;30,215
Engativá;2023 AGOSTO;R. subsidiado;96,064
Suba;2023 AGOSTO;R. subsidiado;119,696
Barrios Unidos;2023 AGOSTO;R. subsidiado;12,131
Teusaquillo;2023 AGOSTO;R. subsidiado;2,969
Los Mártires;2023 AGOSTO;R. subsidiado;17,799
Antonio Nariño;2023 AGOSTO;R. subsidiado;11,81
Puente Aranda;2023 AGOSTO;R. subsidiado;22,8
La Candelaria;2023 AGOSTO;R. subsidiado;5,823
Rafael Uribe Uribe;2023 AGOSTO;R. subsidiado;102,942
Ciudad Bolívar;2023 AGOSTO;R. subsidiado;208,301
Sumapaz;2023 AGOSTO;R. subsidiado;1,421
Sin dato de localidad;2023 AGOSTO;R. subsidiado;390,305
Distrito;2023 AGOSTO;R. subsidiado;1,715,408
Usaquén;2023 AGOSTO;No afiliados;0
Chapinero;2023 AGOSTO;No afiliados;0
Santa Fe;2023 AGOSTO;No afiliados;0
San Cristóbal;2023 AGOSTO;No afiliados;0
Usme;2023 AGOSTO;No afiliados;0
Tunjuelito;2023 AGOSTO;No afiliados;0
Bosa;2023 AGOSTO;No afiliados;0
Kennedy;2023 AGOSTO;No afiliados;0
Fontibón;2023 AGOSTO;No afiliados;0
Engativá;2023 AGOSTO;No afiliados;0
Suba;2023 AGOSTO;No afiliados;0
Barrios Unidos;2023 AGOSTO;No afiliados;0
Teusaquillo;2023 AGOSTO;No afiliados;0
Los Mártires;2023 AGOSTO;No afiliados;0
Antonio Nariño;2023 AGOSTO;No afiliados;0
Puente Aranda;2023 AGOSTO;No afiliados;0
La Candelaria;2023 AGOSTO;No afiliados;0
Rafael Uribe Uribe;2023 AGOSTO;No afiliados;0
Ciudad Bolívar;2023 AGOSTO;No afiliados;0
Sumapaz;2023 AGOSTO;No afiliados;0
Sin dato de localidad;2023 AGOSTO;No afiliados;0
Distrito;2023 AGOSTO;No afiliados;0
Usaquén;2023 SEPTIEMBRE;R. contributivo;534,045
Chapinero;2023 SEPTIEMBRE;R. contributivo;165,374
Santa Fe;2023 SEPTIEMBRE;R. contributivo;63,381
San Cristóbal;2023 SEPTIEMBRE;R. contributivo;280,435
Usme;2023 SEPTIEMBRE;R. contributivo;230,977
Tunjuelito;2023 SEPTIEMBRE;R. contributivo;119,836
Bosa;2023 SEPTIEMBRE;R. contributivo;497,994
Kennedy;2023 SEPTIEMBRE;R. contributivo;783,485
Fontibón;2023 SEPTIEMBRE;R. contributivo;359,901
Engativá;2023 SEPTIEMBRE;R. contributivo;697,043
Suba;2023 SEPTIEMBRE;R. contributivo;1,118,245
Barrios Unidos;2023 SEPTIEMBRE;R. contributivo;130,357
Teusaquillo;2023 SEPTIEMBRE;R. contributivo;163,427
Los Mártires;2023 SEPTIEMBRE;R. contributivo;50,431
Antonio Nariño;2023 SEPTIEMBRE;R. contributivo;65,365
Puente Aranda;2023 SEPTIEMBRE;R. contributivo;217,646
La Candelaria;2023 SEPTIEMBRE;R. contributivo;12,202
Rafael Uribe Uribe;2023 SEPTIEMBRE;R. contributivo;249,972
Ciudad Bolívar;2023 SEPTIEMBRE;R. contributivo;390,026
Sumapaz;2023 SEPTIEMBRE;R. contributivo;1,319
Sin dato de localidad;2023 SEPTIEMBRE;R. contributivo;0
Distrito;2023 SEPTIEMBRE;R. contributivo;6,131,461
Usaquén;2023 SEPTIEMBRE;R. excepción;17,166
Chapinero;2023 SEPTIEMBRE;R. excepción;4,527
Santa Fe;2023 SEPTIEMBRE;R. excepción;2,655
San Cristóbal;2023 SEPTIEMBRE;R. excepción;7,751
Usme;2023 SEPTIEMBRE;R. excepción;4,711
Tunjuelito;2023 SEPTIEMBRE;R. excepción;6,098
Bosa;2023 SEPTIEMBRE;R. excepción;9,031
Kennedy;2023 SEPTIEMBRE;R. excepción;34,854
Fontibón;2023 SEPTIEMBRE;R. excepción;9,984
Engativá;2023 SEPTIEMBRE;R. excepción;21,977
Suba;2023 SEPTIEMBRE;R. excepción;33,271
Barrios Unidos;2023 SEPTIEMBRE;R. excepción;3,743
Teusaquillo;2023 SEPTIEMBRE;R. excepción;8,106
Los Mártires;2023 SEPTIEMBRE;R. excepción;1,727
Antonio Nariño;2023 SEPTIEMBRE;R. excepción;2,666
Puente Aranda;2023 SEPTIEMBRE;R. excepción;7,442
La Candelaria;2023 SEPTIEMBRE;R. excepción;282
Rafael Uribe Uribe;2023 SEPTIEMBRE;R. excepción;7,447
Ciudad Bolívar;2023 SEPTIEMBRE;R. excepción;7,265
Sumapaz;2023 SEPTIEMBRE;R. excepción;34
Sin dato de localidad;2023 SEPTIEMBRE;R. excepción;
Distrito;2023 SEPTIEMBRE;R. excepción;190,737
Usaquén;2023 SEPTIEMBRE;R. subsidiado;37,345
Chapinero;2023 SEPTIEMBRE;R. subsidiado;9,649
Santa Fe;2023 SEPTIEMBRE;R. subsidiado;33,062
San Cristóbal;2023 SEPTIEMBRE;R. subsidiado;109,181
Usme;2023 SEPTIEMBRE;R. subsidiado;123,172
Tunjuelito;2023 SEPTIEMBRE;R. subsidiado;41,047
Bosa;2023 SEPTIEMBRE;R. subsidiado;175,743
Kennedy;2023 SEPTIEMBRE;R. subsidiado;163,933
Fontibón;2023 SEPTIEMBRE;R. subsidiado;30,215
Engativá;2023 SEPTIEMBRE;R. subsidiado;96,064
Suba;2023 SEPTIEMBRE;R. subsidiado;119,696
Barrios Unidos;2023 SEPTIEMBRE;R. subsidiado;12,131
Teusaquillo;2023 SEPTIEMBRE;R. subsidiado;2,969
Los Mártires;2023 SEPTIEMBRE;R. subsidiado;17,799
Antonio Nariño;2023 SEPTIEMBRE;R. subsidiado;11,81
Puente Aranda;2023 SEPTIEMBRE;R. subsidiado;22,8
La Candelaria;2023 SEPTIEMBRE;R. subsidiado;5,823
Rafael Uribe Uribe;2023 SEPTIEMBRE;R. subsidiado;102,942
Ciudad Bolívar;2023 SEPTIEMBRE;R. subsidiado;208,301
Sumapaz;2023 SEPTIEMBRE;R. subsidiado;1,421
Sin dato de localidad;2023 SEPTIEMBRE;R. subsidiado;390,305
Distrito;2023 SEPTIEMBRE;R. subsidiado;1,715,408
Usaquén;2023 SEPTIEMBRE;No afiliados;0
Chapinero;2023 SEPTIEMBRE;No afiliados;0
Santa Fe;2023 SEPTIEMBRE;No afiliados;0
San Cristóbal;2023 SEPTIEMBRE;No afiliados;0
Usme;2023 SEPTIEMBRE;No afiliados;0
Tunjuelito;2023 SEPTIEMBRE;No afiliados;0
Bosa;2023 SEPTIEMBRE;No afiliados;0
Kennedy;2023 SEPTIEMBRE;No afiliados;0
Fontibón;2023 SEPTIEMBRE;No afiliados;0
Engativá;2023 SEPTIEMBRE;No afiliados;0
Suba;2023 SEPTIEMBRE;No afiliados;0
Barrios Unidos;2023 SEPTIEMBRE;No afiliados;0
Teusaquillo;2023 SEPTIEMBRE;No afiliados;0
Los Mártires;2023 SEPTIEMBRE;No afiliados;0
Antonio Nariño;2023 SEPTIEMBRE;No afiliados;0
Puente Aranda;2023 SEPTIEMBRE;No afiliados;0
La Candelaria;2023 SEPTIEMBRE;No afiliados;0
Rafael Uribe Uribe;2023 SEPTIEMBRE;No afiliados;0
Ciudad Bolívar;2023 SEPTIEMBRE;No afiliados;0
Sumapaz;2023 SEPTIEMBRE;No afiliados;0
Sin dato de localidad;2023 SEPTIEMBRE;No afiliados;0
Distrito;2023 SEPTIEMBRE;No afiliados;0
Usaquén;2023 OCTUBRE;R. contributivo;532.082
Chapinero;2023 OCTUBRE;R. contributivo;164.766
Santa Fe;2023 OCTUBRE;R. contributivo;63.148
San Cristóbal;2023 OCTUBRE;R. contributivo;279.404
Usme;2023 OCTUBRE;R. contributivo;230.128
Tunjuelito;2023 OCTUBRE;R. contributivo;119.395
Bosa;2023 OCTUBRE;R. contributivo;496.163
Kennedy;2023 OCTUBRE;R. contributivo;780.606
Fontibón;2023 OCTUBRE;R. contributivo;358.578
Engativá;2023 OCTUBRE;R. contributivo;694.481
Suba;2023 OCTUBRE;R. contributivo;1.114.137
Barrios Unidos;2023 OCTUBRE;R. contributivo;129.878
Teusaquillo;2023 OCTUBRE;R. contributivo;162.826
Los Mártires;2023 OCTUBRE;R. contributivo;50.245
Antonio Nariño;2023 OCTUBRE;R. contributivo;65.124
Puente Aranda;2023 OCTUBRE;R. contributivo;216.846
La Candelaria;2023 OCTUBRE;R. contributivo;12.157
Rafael Uribe Uribe;2023 OCTUBRE;R. contributivo;249.053
Ciudad Bolívar;2023 OCTUBRE;R. contributivo;388.592
Sumapaz;2023 OCTUBRE;R. contributivo;1.314
Sin dato de localidad;2023 OCTUBRE;R. contributivo;
Distrito;2023 OCTUBRE;R. contributivo;6.108.923
Usaquén;2023 OCTUBRE;R. excepción;17.166
Chapinero;2023 OCTUBRE;R. excepción;4.527
Santa Fe;2023 OCTUBRE;R. excepción;2.655
San Cristóbal;2023 OCTUBRE;R. excepción;7.751
Usme;2023 OCTUBRE;R. excepción;4.711
Tunjuelito;2023 OCTUBRE;R. excepción;6.098
Bosa;2023 OCTUBRE;R. excepción;9.031
Kennedy;2023 OCTUBRE;R. excepción;34.854
Fontibón;2023 OCTUBRE;R. excepción;9.984
Engativá;2023 OCTUBRE;R. excepción;21.977
Suba;2023 OCTUBRE;R. excepción;33.271
Barrios Unidos;2023 OCTUBRE;R. excepción;3.743
Teusaquillo;2023 OCTUBRE;R. excepción;8.106
Los Mártires;2023 OCTUBRE;R. excepción;1.727
Antonio Nariño;2023 OCTUBRE;R. excepción;2.666
Puente Aranda;2023 OCTUBRE;R. excepción;7.442
La Candelaria;2023 OCTUBRE;R. excepción;282
Rafael Uribe Uribe;2023 OCTUBRE;R. excepción;7.447
Ciudad Bolívar;2023 OCTUBRE;R. excepción;7.265
Sumapaz;2023 OCTUBRE;R. excepción;34
Sin dato de localidad;2023 OCTUBRE;R. excepción;
Distrito;2023 OCTUBRE;R. excepción;190.737
Usaquén;2023 OCTUBRE;R. subsidiado;38.321
Chapinero;2023 OCTUBRE;R. subsidiado;9.951
Santa Fe;2023 OCTUBRE;R. subsidiado;33.734
San Cristóbal;2023 OCTUBRE;R. subsidiado;110.487
Usme;2023 OCTUBRE;R. subsidiado;124.578
Tunjuelito;2023 OCTUBRE;R. subsidiado;41.786
Bosa;2023 OCTUBRE;R. subsidiado;178.12
Kennedy;2023 OCTUBRE;R. subsidiado;166.951
Fontibón;2023 OCTUBRE;R. subsidiado;30.856
Engativá;2023 OCTUBRE;R. subsidiado;98.038
Suba;2023 OCTUBRE;R. subsidiado;122.105
Barrios Unidos;2023 OCTUBRE;R. subsidiado;12.406
Teusaquillo;2023 OCTUBRE;R. subsidiado;3.038
Los Mártires;2023 OCTUBRE;R. subsidiado;18.163
Antonio Nariño;2023 OCTUBRE;R. subsidiado;12.001
Puente Aranda;2023 OCTUBRE;R. subsidiado;23.201
La Candelaria;2023 OCTUBRE;R. subsidiado;5.887
Rafael Uribe Uribe;2023 OCTUBRE;R. subsidiado;104.654
Ciudad Bolívar;2023 OCTUBRE;R. subsidiado;210.75
Sumapaz;2023 OCTUBRE;R. subsidiado;1.42
Sin dato de localidad;2023 OCTUBRE;R. subsidiado;390.232
Distrito;2023 OCTUBRE;R. subsidiado;1.736.679
Usaquén;2023 OCTUBRE;No afiliados;0
Chapinero;2023 OCTUBRE;No afiliados;0
Santa Fe;2023 OCTUBRE;No afiliados;0
San Cristóbal;2023 OCTUBRE;No afiliados;0
Usme;2023 OCTUBRE;No afiliados;0
Tunjuelito;2023 OCTUBRE;No afiliados;0
Bosa;2023 OCTUBRE;No afiliados;0
Kennedy;2023 OCTUBRE;No afiliados;0
Fontibón;2023 OCTUBRE;No afiliados;0
Engativá;2023 OCTUBRE;No afiliados;0
Suba;2023 OCTUBRE;No afiliados;0
Barrios Unidos;2023 OCTUBRE;No afiliados;0
Teusaquillo;2023 OCTUBRE;No afiliados;0
Los Mártires;2023 OCTUBRE;No afiliados;0
Antonio Nariño;2023 OCTUBRE;No afiliados;0
Puente Aranda;2023 OCTUBRE;No afiliados;0
La Candelaria;2023 OCTUBRE;No afiliados;0
Rafael Uribe Uribe;2023 OCTUBRE;No afiliados;0
Ciudad Bolívar;2023 OCTUBRE;No afiliados;0
Sumapaz;2023 OCTUBRE;No afiliados;0
Sin dato de localidad;2023 OCTUBRE;No afiliados;0
Distrito;2023 OCTUBRE;No afiliados;0
Usaquén;2023 NOVIEMBRE;R. contributivo;532,626
Chapinero;2023 NOVIEMBRE;R. contributivo;164,934
Santa Fe;2023 NOVIEMBRE;R. contributivo;63,213
San Cristóbal;2023 NOVIEMBRE;R. contributivo;279,69
Usme;2023 NOVIEMBRE;R. contributivo;230,364
Tunjuelito;2023 NOVIEMBRE;R. contributivo;119,517
Bosa;2023 NOVIEMBRE;R. contributivo;496,671
Kennedy;2023 NOVIEMBRE;R. contributivo;781,404
Fontibón;2023 NOVIEMBRE;R. contributivo;358,945
Engativá;2023 NOVIEMBRE;R. contributivo;695,192
Suba;2023 NOVIEMBRE;R. contributivo;1,115,274
Barrios Unidos;2023 NOVIEMBRE;R. contributivo;130,011
Teusaquillo;2023 NOVIEMBRE;R. contributivo;162,993
Los Mártires;2023 NOVIEMBRE;R. contributivo;50,297
Antonio Nariño;2023 NOVIEMBRE;R. contributivo;65,191
